algorithm,reward,iteration,value,time
algorithm_13k,1,1,0.000000,0.000000
algorithm_13k,1,2,-25.841249,0.432607
algorithm_13k,1,3,-25.721853,0.590057
algorithm_13k,1,4,-24.697297,0.742408
algorithm_13k,1,5,-25.809027,0.887595
algorithm_13k,1,6,-25.777060,1.039994
algorithm_13k,1,7,-20.767748,1.199125
algorithm_13k,1,8,-21.113126,1.360399
algorithm_13k,1,9,-25.582617,1.555915
algorithm_13k,1,10,-21.621316,1.714762
algorithm_13k,1,11,-24.801695,1.873138
algorithm_13k,1,12,-21.424796,2.040702
algorithm_13k,1,13,-18.966133,2.252443
algorithm_13k,1,14,-21.114760,2.470804
algorithm_13k,1,15,-19.296337,2.663501
algorithm_13k,1,16,-19.562825,2.829366
algorithm_13k,1,17,-19.573303,3.012987
algorithm_13k,1,18,-19.158998,3.204676
algorithm_13k,1,19,-19.290130,3.385760
algorithm_13k,1,20,-19.065885,3.568992
algorithm_13k,1,21,-19.591724,3.761100
algorithm_13k,1,22,-18.956193,3.983727
algorithm_13k,1,23,-18.606829,4.218644
algorithm_13k,1,24,-18.666045,4.442032
algorithm_13k,1,25,-18.680020,4.668890
algorithm_13k,1,26,-20.599138,4.894039
algorithm_13k,1,27,-24.146882,5.117172
algorithm_13k,1,28,-25.007536,5.326041
algorithm_13k,1,29,-18.981421,5.554143
algorithm_13k,1,30,-19.138312,5.782928
algorithm_13k,1,31,-18.386768,6.009346
algorithm_lsp,1,1,0.000000,0.000000
algorithm_lsp,1,2,-22.227657,0.400187
algorithm_lsp,1,3,-22.312568,0.631531
algorithm_lsp,1,4,-22.222161,0.869448
algorithm_lsp,1,5,-25.247892,1.100052
algorithm_lsp,1,6,-25.628737,1.332225
algorithm_lsp,1,7,-24.834944,1.568978
algorithm_lsp,1,8,-18.544538,1.802954
algorithm_lsp,1,9,-18.595623,2.036733
algorithm_lsp,1,10,-18.586853,2.277855
algorithm_lsp,1,11,-24.935071,2.514589
algorithm_lsp,1,12,-25.484654,2.752523
algorithm_lsp,1,13,-25.525812,2.990433
algorithm_lsp,1,14,-24.831568,3.233445
algorithm_lsp,1,15,-24.764831,3.470973
algorithm_lsp,1,16,-24.716169,3.708356
algorithm_lsp,1,17,-25.233666,3.942858
algorithm_lsp,1,18,-24.816222,4.180835
algorithm_lsp,1,19,-25.120808,4.416750
algorithm_lsp,1,20,-24.746583,4.651290
algorithm_lsp,1,21,-24.625816,4.883258
algorithm_lsp,1,22,-24.566629,5.114136
algorithm_lsp,1,23,-24.488599,5.343904
algorithm_lsp,1,24,-24.779446,5.575467
algorithm_lsp,1,25,-24.678800,5.805835
