algorithm,policy,featexp,value,time,s,n
an,0.39,0.298014,0.600956,0.223232,100,10
an,0.537778,0.304838,0.382155,0.430833,100,15
an,0.5425,0.236666,0.301999,0.856467,100,20
an,0.6128,0.232133,0.302383,1.389383,100,25
an,0.634444,0.187417,0.309237,1.798309,100,30
algorithm5,0.24,0.105348,0.975534,0.161002,100,10
algorithm5,0.306667,0.046266,0.979199,0.235906,100,15
algorithm5,0.32,0.06638,0.968242,0.541261,100,20
algorithm5,0.3648,0.065215,0.950143,0.797536,100,25
algorithm5,0.431111,0.106041,0.924564,1.179607,100,30
an,0.52,0.322705,0.592078,0.123604,100,10
an,0.484444,0.303394,0.39581,0.45184,100,15
an,0.6925,0.259002,0.215168,0.824052,100,20
an,0.6304,0.267404,0.354682,1.208394,100,25
an,0.623333,0.195999,0.323894,2.107221,100,30
algorithm5,0.22,0.034945,0.992135,0.029801,100,10
algorithm5,0.2,0.043128,0.986468,0.248542,100,15
algorithm5,0.32,0.052527,0.973732,0.432704,100,20
algorithm5,0.448,0.071219,0.94048,0.589352,100,25
algorithm5,0.438889,0.078082,0.933014,0.977801,100,30
an,0.49,0.348302,0.516508,0.223029,100,10
an,0.6,0.336229,0.19018,0.358699,100,15
an,0.6175,0.247172,0.398466,0.654604,100,20
an,0.6784,0.20439,0.242445,1.20648,100,25
an,0.655556,0.198296,0.227583,1.977652,100,30
algorithm5,0.16,0.024397,0.991961,0.06061,100,10
algorithm5,0.28,0.068115,0.97975,0.34191,100,15
algorithm5,0.3525,0.056067,0.974526,0.426757,100,20
algorithm5,0.4768,0.096636,0.889732,0.799388,100,25
algorithm5,0.418889,0.067522,0.938021,0.919283,100,30
an,0.28,0.257242,0.824137,0.196081,100,10
an,0.426667,0.179891,0.673784,0.384838,100,15
an,0.645,0.246232,0.257217,1.141722,100,20
an,0.6128,0.261482,0.130293,1.839935,100,25
an,0.64,0.194113,0.282974,2.260491,100,30
algorithm5,0.18,0.058092,0.984636,0.093399,100,10
algorithm5,0.2,0.016778,0.991474,0.167322,100,15
algorithm5,0.3725,0.079526,0.953107,0.409859,100,20
algorithm5,0.44,0.079177,0.930938,0.697919,100,25
algorithm5,0.421111,0.066627,0.926511,1.055699,100,30
an,0.52,0.329087,0.494841,0.18888,100,10
an,0.528889,0.293932,0.451328,0.418823,100,15
an,0.5925,0.288178,0.141607,0.828356,100,20
an,0.6192,0.236778,0.375251,1.346964,100,25
an,0.661111,0.20586,0.201256,1.578425,100,30
algorithm5,0.24,0.130238,0.982092,0.14419,100,10
algorithm5,0.306667,0.099999,0.968179,0.190724,100,15
algorithm5,0.3325,0.069926,0.962708,0.462481,100,20
algorithm5,0.4048,0.094336,0.939296,1.59854,100,25
algorithm5,0.434444,0.078444,0.938904,1.954595,100,30
an,0.53,0.410354,0.396192,0.459846,100,10
an,0.431111,0.306257,0.64585,0.860494,100,15
an,0.59,0.220581,0.405384,1.462378,100,20
an,0.6576,0.213076,0.229331,2.423508,100,25
an,0.67,0.170032,0.249288,2.471737,100,30
algorithm5,0.26,0.107148,0.973977,0.098834,100,10
algorithm5,0.324444,0.12272,0.952435,0.190015,100,15
algorithm5,0.32,0.062375,0.974447,0.303705,100,20
algorithm5,0.488,0.099468,0.898666,0.829122,100,25
algorithm5,0.447778,0.075004,0.925492,1.169587,100,30
an,0.4,0.150125,0.945714,0.081129,100,10
an,0.573333,0.244959,0.455463,0.529244,100,15
an,0.6075,0.20813,0.39167,1.228104,100,20
an,0.696,0.213731,0.234753,1.412165,100,25
an,0.647778,0.211081,0.289959,2.185932,100,30
algorithm5,0.25,0.14898,0.959805,0.100893,100,10
algorithm5,0.275556,0.06599,0.977871,0.382487,100,15
algorithm5,0.39,0.082894,0.956752,1.023141,100,20
algorithm5,0.4048,0.081672,0.937492,1.208856,100,25
algorithm5,0.435556,0.070426,0.939875,1.942455,100,30
an,0.44,0.360626,0.500842,0.430905,100,10
an,0.52,0.335866,0.548861,0.786001,100,15
an,0.555,0.293347,0.341128,1.954053,100,20
an,0.6096,0.203783,0.288955,3.757561,100,25
an,0.638889,0.178475,0.235566,6.674557,100,30
algorithm5,0.22,0.065437,0.988154,0.133645,100,10
algorithm5,0.293333,0.062585,0.981863,0.40555,100,15
algorithm5,0.32,0.060022,0.965897,1.111523,100,20
algorithm5,0.4,0.085135,0.951117,1.488021,100,25
algorithm5,0.448889,0.106821,0.892546,2.093244,100,30
an,0.45,0.245643,0.687762,0.356322,100,10
an,0.435556,0.367461,0.373718,0.768038,100,15
an,0.5825,0.256992,0.474712,1.510379,100,20
an,0.6544,0.221785,0.258391,2.925199,100,25
an,0.677778,0.202306,0.215833,2.850258,100,30
algorithm5,0.2,0.033026,0.979261,0.093311,100,10
algorithm5,0.226667,0.043059,0.986277,0.151889,100,15
algorithm5,0.375,0.098828,0.949873,0.473373,100,20
algorithm5,0.3968,0.07363,0.936851,0.761273,100,25
algorithm5,0.397778,0.057931,0.945968,0.990954,100,30
an,0.54,0.382604,0.55243,0.190733,100,10
an,0.551111,0.259511,0.467812,0.42882,100,15
an,0.54,0.239886,0.342356,0.870938,100,20
an,0.6416,0.230152,0.203067,1.488489,100,25
an,0.675556,0.173978,0.269025,2.190923,100,30
algorithm5,0.29,0.107682,0.981708,0.112888,100,10
algorithm5,0.297778,0.066836,0.966922,0.156945,100,15
algorithm5,0.34,0.05579,0.969508,0.505018,100,20
algorithm5,0.4064,0.081507,0.943014,0.695173,100,25
algorithm5,0.437778,0.080948,0.919562,0.970798,100,30
gpirl,0.07,0.027889,0.999248,10.340372,100,10
gpirl,0.186667,0.032309,0.991691,25.051315,100,15
gpirl,0.205,0.034574,0.990556,167.438684,100,20
gpirl,0.296,0.040494,0.980492,288.125848,100,25
gpirl,0.32,0.035637,0.976777,526.686674,100,30
gpirl,0.11,0.020515,0.99803,12.71526,100,10
gpirl,0.173333,0.030849,0.991382,25.290096,100,15
gpirl,0.2025,0.016927,0.993169,181.034888,100,20
gpirl,0.3184,0.055895,0.973238,284.926657,100,25
gpirl,0.317778,0.043847,0.974045,449.835122,100,30
gpirl,0.14,0.07889,0.994026,5.454767,100,10
gpirl,0.177778,0.030462,0.993882,29.134776,100,15
gpirl,0.2225,0.052298,0.984124,125.153186,100,20
gpirl,0.2976,0.036347,0.978187,310.814424,100,25
gpirl,0.347778,0.044145,0.972107,616.511043,100,30
an,0.469136,0.243531,0.948285,1.002262,10,9
an,0.45679,0.335366,0.705589,1.05606,20,9
an,0.382716,0.341803,0.753813,1.400854,30,9
an,0.358025,0.364237,0.605935,1.454873,40,9
an,0.432099,0.342536,0.749637,1.251684,50,9
algorithm5,0.283951,0.126409,0.977519,0.342002,10,9
algorithm5,0.271605,0.083562,0.971953,0.290286,20,9
algorithm5,0.308642,0.116367,0.96407,0.3271,30,9
algorithm5,0.345679,0.107309,0.964171,0.38866,40,9
algorithm5,0.234568,0.065293,0.974673,0.529656,50,9
gpirl,0.259259,0.12367,0.98744,2.652016,10,9
gpirl,0.185185,0.106833,0.988847,4.047114,20,9
gpirl,0.185185,0.088489,0.993078,4.971289,30,9
gpirl,0.148148,0.095822,0.993692,3.985518,40,9
gpirl,0.111111,0.104551,0.996172,5.066213,50,9
an,0.469136,0.243531,0.948285,0.986843,10,9
an,0.45679,0.335366,0.705589,1.077988,20,9
an,0.382716,0.341803,0.753813,1.435395,30,9
an,0.358025,0.364237,0.605935,1.511009,40,9
an,0.432099,0.342536,0.749637,1.246518,50,9
algorithm5,0.283951,0.126409,0.977519,0.314059,10,9
algorithm5,0.271605,0.083562,0.971953,0.278355,20,9
algorithm5,0.308642,0.116367,0.96407,0.325248,30,9
algorithm5,0.345679,0.107309,0.964171,0.398568,40,9
algorithm5,0.234568,0.065293,0.974673,0.537314,50,9
gpirl,0.259259,0.12367,0.98744,2.634127,10,9
gpirl,0.185185,0.106833,0.988847,3.917106,20,9
gpirl,0.185185,0.088489,0.993078,4.5879,30,9
gpirl,0.148148,0.095822,0.993692,4.012572,40,9
gpirl,0.111111,0.104551,0.996172,4.860979,50,9
an,0.469136,0.243531,0.948285,0.960978,10,9
an,0.45679,0.335366,0.705589,1.036362,20,9
an,0.382716,0.341803,0.753813,1.403054,30,9
an,0.358025,0.364237,0.605935,1.524554,40,9
an,0.432099,0.342536,0.749637,1.265235,50,9
algorithm5,0.283951,0.126409,0.977519,0.316429,10,9
algorithm5,0.271605,0.083562,0.971953,0.302119,20,9
algorithm5,0.308642,0.116367,0.96407,0.323475,30,9
algorithm5,0.345679,0.107309,0.964171,0.401785,40,9
algorithm5,0.234568,0.065293,0.974673,0.545609,50,9
gpirl,0.259259,0.12367,0.98744,2.58326,10,9
gpirl,0.185185,0.106833,0.988847,3.747558,20,9
gpirl,0.185185,0.088489,0.993078,4.424663,30,9
gpirl,0.148148,0.095822,0.993692,3.736455,40,9
gpirl,0.111111,0.104551,0.996172,4.777652,50,9
an,0.469136,0.243531,0.948285,0.977035,10,9
an,0.45679,0.335366,0.705589,1.084078,20,9
an,0.382716,0.341803,0.753813,1.447364,30,9
an,0.358025,0.364237,0.605935,1.588333,40,9
an,0.432099,0.342536,0.749637,1.272597,50,9
algorithm5,0.283951,0.126409,0.977519,0.319485,10,9
algorithm5,0.271605,0.083562,0.971953,0.288111,20,9
algorithm5,0.308642,0.116367,0.96407,0.331459,30,9
algorithm5,0.345679,0.107309,0.964171,0.404974,40,9
algorithm5,0.234568,0.065293,0.974673,0.549201,50,9
gpirl,0.259259,0.12367,0.98744,2.550969,10,9
gpirl,0.185185,0.106833,0.988847,3.797715,20,9
gpirl,0.185185,0.088489,0.993078,4.330452,30,9
gpirl,0.148148,0.095822,0.993692,3.758005,40,9
gpirl,0.111111,0.104551,0.996172,4.765541,50,9
an,0.469136,0.243531,0.948285,1.006275,10,9
an,0.45679,0.335366,0.705589,1.081406,20,9
an,0.382716,0.341803,0.753813,1.401201,30,9
an,0.358025,0.364237,0.605935,1.455879,40,9
an,0.432099,0.342536,0.749637,1.22451,50,9
algorithm5,0.283951,0.126409,0.977519,0.307251,10,9
algorithm5,0.271605,0.083562,0.971953,0.278414,20,9
algorithm5,0.308642,0.116367,0.96407,0.310632,30,9
algorithm5,0.345679,0.107309,0.964171,0.392963,40,9
algorithm5,0.234568,0.065293,0.974673,0.525538,50,9
gpirl,0.259259,0.12367,0.98744,2.476904,10,9
gpirl,0.185185,0.106833,0.988847,3.706484,20,9
gpirl,0.185185,0.088489,0.993078,4.346202,30,9
gpirl,0.148148,0.095822,0.993692,3.73555,40,9
gpirl,0.111111,0.104551,0.996172,4.748059,50,9
an,0.469136,0.243531,0.948285,0.959244,10,9
an,0.45679,0.335366,0.705589,1.042442,20,9
an,0.382716,0.341803,0.753813,1.380866,30,9
an,0.358025,0.364237,0.605935,1.457642,40,9
an,0.432099,0.342536,0.749637,1.21005,50,9
algorithm5,0.283951,0.126409,0.977519,0.307912,10,9
algorithm5,0.271605,0.083562,0.971953,0.278523,20,9
algorithm5,0.308642,0.116367,0.96407,0.310228,30,9
algorithm5,0.345679,0.107309,0.964171,0.388479,40,9
algorithm5,0.234568,0.065293,0.974673,0.523031,50,9
gpirl,0.259259,0.12367,0.98744,2.500461,10,9
gpirl,0.185185,0.106833,0.988847,3.76283,20,9
gpirl,0.185185,0.088489,0.993078,4.330536,30,9
gpirl,0.148148,0.095822,0.993692,3.751907,40,9
gpirl,0.111111,0.104551,0.996172,4.773959,50,9
an,0.469136,0.243531,0.948285,0.968362,10,9
an,0.45679,0.335366,0.705589,1.044663,20,9
an,0.382716,0.341803,0.753813,1.395178,30,9
an,0.358025,0.364237,0.605935,1.467075,40,9
an,0.432099,0.342536,0.749637,1.225276,50,9
algorithm5,0.283951,0.126409,0.977519,0.31445,10,9
algorithm5,0.271605,0.083562,0.971953,0.299179,20,9
algorithm5,0.308642,0.116367,0.96407,0.322939,30,9
algorithm5,0.345679,0.107309,0.964171,0.404917,40,9
algorithm5,0.234568,0.065293,0.974673,0.546302,50,9
gpirl,0.259259,0.12367,0.98744,2.5939,10,9
gpirl,0.185185,0.106833,0.988847,3.731065,20,9
gpirl,0.185185,0.088489,0.993078,4.328731,30,9
gpirl,0.148148,0.095822,0.993692,3.732605,40,9
gpirl,0.111111,0.104551,0.996172,4.847853,50,9
an,0.469136,0.243531,0.948285,0.956148,10,9
an,0.45679,0.335366,0.705589,1.036104,20,9
an,0.382716,0.341803,0.753813,1.377716,30,9
an,0.358025,0.364237,0.605935,1.487128,40,9
an,0.432099,0.342536,0.749637,1.252074,50,9
algorithm5,0.283951,0.126409,0.977519,0.320264,10,9
algorithm5,0.271605,0.083562,0.971953,0.289737,20,9
algorithm5,0.308642,0.116367,0.96407,0.332617,30,9
algorithm5,0.345679,0.107309,0.964171,0.402007,40,9
algorithm5,0.234568,0.065293,0.974673,0.546389,50,9
gpirl,0.259259,0.12367,0.98744,2.550358,10,9
gpirl,0.185185,0.106833,0.988847,3.854454,20,9
gpirl,0.185185,0.088489,0.993078,4.47363,30,9
gpirl,0.148148,0.095822,0.993692,3.846239,40,9
gpirl,0.111111,0.104551,0.996172,4.763549,50,9
an,0.469136,0.243531,0.948285,0.975867,10,9
an,0.45679,0.335366,0.705589,1.034926,20,9
an,0.382716,0.341803,0.753813,1.384079,30,9
an,0.358025,0.364237,0.605935,1.508132,40,9
an,0.432099,0.342536,0.749637,1.315728,50,9
algorithm5,0.283951,0.126409,0.977519,0.318432,10,9
algorithm5,0.271605,0.083562,0.971953,0.291395,20,9
algorithm5,0.308642,0.116367,0.96407,0.323151,30,9
