algorithm,policy,featexp,value,time,s,n
algorithm5,0.431111,0.1581,0.935785,0.022498,70,15
gpirl,0.471111,0.164499,0.949207,10.999022,10,15
gpirl,0.315556,0.06417,0.984508,10.278493,30,15
gpirl,0.271111,0.082982,0.984271,16.964859,50,15
gpirl,0.204444,0.0575,0.989648,21.373265,70,15
an,0.568889,0.286954,0.358469,0.390585,500,15
an,0.497778,0.294906,0.412049,0.458645,500,15
an,0.586667,0.27539,0.457451,0.287944,500,15
an,0.435556,0.155953,0.75109,0.351295,500,15
an,0.551111,0.288008,0.522309,0.415373,500,15
an,0.355556,0.299186,0.733783,0.289576,500,15
an,0.56,0.315717,0.303817,0.445334,500,15
an,0.488889,0.327062,0.34327,0.435203,500,15
an,0.466667,0.225895,0.618371,0.283264,500,15
an,0.493333,0.2793,0.528214,0.394354,500,15
algorithm9,0.310000,0.078824,0.975192,34.477989,500,10
algorithm9,0.360000,0.185081,0.930235,0.065647,500,15
algorithm9,0.397500,0.183934,0.879485,0.071665,500,20
algorithm9,0.424000,0.133389,0.910556,0.086840,500,25
algorithm9,0.391111,0.119883,0.922387,0.117460,500,30
algorithm9,0.260000,0.044742,0.983814,0.022812,500,10
algorithm9,0.377778,0.130103,0.934523,0.036605,500,15
algorithm9,0.367500,0.105822,0.935389,0.071230,500,20
algorithm9,0.424000,0.116694,0.917063,0.091452,500,25
algorithm9,0.374444,0.108143,0.916932,0.106498,500,30
algorithm9,0.330000,0.110440,0.983948,0.022725,500,10
algorithm9,0.320000,0.141380,0.955358,0.034983,500,15
algorithm9,0.340000,0.095095,0.955613,0.064638,500,20
algorithm9,0.441600,0.124618,0.890671,0.084163,500,25
algorithm9,0.481111,0.141248,0.865612,0.104910,500,30
algorithm9,0.320000,0.197792,0.955932,0.022723,500,10
algorithm9,0.417778,0.169126,0.914290,0.036025,500,15
algorithm9,0.412500,0.120944,0.932705,0.056731,500,20
algorithm9,0.353600,0.110487,0.939867,0.086043,500,25
algorithm9,0.437778,0.089030,0.933759,0.101023,500,30
algorithm9,0.340000,0.161189,0.971606,0.022759,500,10
algorithm9,0.373333,0.151557,0.956306,0.035383,500,15
algorithm9,0.387500,0.138156,0.940568,0.057762,500,20
algorithm9,0.382400,0.107669,0.922590,0.085725,500,25
algorithm9,0.462222,0.130119,0.888929,0.105996,500,30
algorithm9,0.320000,0.220758,0.951777,0.023039,500,10
algorithm9,0.426667,0.144045,0.936908,0.035113,500,15
algorithm9,0.437500,0.137291,0.912611,0.057705,500,20
algorithm9,0.462400,0.135235,0.881360,0.100286,500,25
algorithm9,0.454444,0.114582,0.887023,0.105564,500,30
algorithm9,0.260000,0.120443,0.975385,0.022864,500,10
algorithm9,0.448889,0.153795,0.920407,0.035003,500,15
algorithm9,0.385000,0.122634,0.932934,0.061820,500,20
algorithm9,0.400000,0.114355,0.928580,0.087746,500,25
algorithm9,0.478889,0.111553,0.894484,0.105515,500,30
algorithm9,0.410000,0.165574,0.938156,0.022256,500,10
algorithm9,0.346667,0.198752,0.927222,0.036086,500,15
algorithm9,0.397500,0.139588,0.927738,0.057871,500,20
algorithm9,0.446400,0.118936,0.924612,0.089689,500,25
algorithm9,0.435556,0.100400,0.919692,0.115081,500,30
algorithm9,0.250000,0.131418,0.976136,0.029117,500,10
algorithm9,0.355556,0.128675,0.949155,0.034558,500,15
algorithm9,0.452500,0.123130,0.914915,0.057109,500,20
algorithm9,0.379200,0.123403,0.916256,0.074566,500,25
algorithm9,0.422222,0.088597,0.928806,0.119686,500,30
algorithm9,0.300000,0.200326,0.951782,0.023416,500,10
algorithm9,0.395556,0.155540,0.955291,0.034847,500,15
algorithm9,0.412500,0.162634,0.911712,0.057671,500,20
algorithm9,0.353600,0.094764,0.909138,0.087113,500,25
algorithm9,0.461111,0.116962,0.894986,0.102697,500,30
algorithm9,0.448889,0.163252,0.920470,0.054908,10,15
algorithm9,0.395556,0.104120,0.946496,0.021781,30,15
algorithm9,0.395556,0.093229,0.954202,0.020536,50,15
algorithm9,0.364444,0.089114,0.955915,0.020366,70,15
algorithm9,0.600000,0.233287,0.801689,0.026120,10,15
algorithm9,0.502222,0.240085,0.823956,0.020117,30,15
algorithm9,0.417778,0.124703,0.931488,0.021982,50,15
algorithm9,0.364444,0.097290,0.952894,0.021906,70,15
algorithm9,0.511111,0.286410,0.830599,0.019587,10,15
algorithm9,0.631111,0.301339,0.728818,0.019862,30,15
algorithm9,0.617778,0.263711,0.779547,0.021309,50,15
algorithm9,0.480000,0.215629,0.855301,0.026744,70,15
algorithm9,0.377778,0.148848,0.917160,0.020436,10,15
algorithm9,0.453333,0.215913,0.885502,0.020109,30,15
algorithm9,0.417778,0.169687,0.911277,0.021342,50,15
algorithm9,0.382222,0.169686,0.914121,0.022326,70,15
algorithm9,0.457778,0.228115,0.899625,0.021344,10,15
algorithm9,0.457778,0.252820,0.890792,0.015435,30,15
algorithm9,0.368889,0.111107,0.954441,0.021092,50,15
algorithm9,0.324444,0.115089,0.958433,0.027715,70,15
algorithm9,0.453333,0.110546,0.931870,0.023162,10,15
algorithm9,0.422222,0.149108,0.904747,0.015371,30,15
algorithm9,0.337778,0.164560,0.945473,0.020247,50,15
algorithm9,0.320000,0.142258,0.957904,0.021313,70,15
algorithm9,0.524444,0.203263,0.892606,0.019424,10,15
algorithm9,0.524444,0.192358,0.868269,0.020396,30,15
algorithm9,0.528889,0.184746,0.877313,0.019893,50,15
algorithm9,0.457778,0.198413,0.896282,0.021081,70,15
algorithm9,0.440000,0.173225,0.937623,0.022207,10,15
algorithm9,0.395556,0.193446,0.918695,0.014135,30,15
algorithm9,0.377778,0.202828,0.921473,0.020911,50,15
algorithm9,0.368889,0.229389,0.918410,0.021250,70,15
algorithm9,0.537778,0.336745,0.744543,0.020405,10,15
algorithm9,0.426667,0.199256,0.882738,0.021605,30,15
algorithm9,0.311111,0.135263,0.959626,0.020978,50,15
algorithm9,0.364444,0.145758,0.934407,0.021513,70,15
algorithm9,0.422222,0.199513,0.940633,0.026398,10,15
algorithm9,0.440000,0.177783,0.957691,0.020601,30,15
algorithm9,0.373333,0.162561,0.961709,0.022253,50,15
algorithm9,0.435556,0.158028,0.935508,0.022052,70,15
algorithm9,0.300000,0.282261,0.926706,0.016686,100,10
algorithm9,0.395556,0.154563,0.937730,0.027606,100,15
algorithm9,0.490000,0.216457,0.816698,0.052878,100,20
algorithm9,0.502400,0.146600,0.875342,0.082273,100,25
algorithm9,0.504444,0.183614,0.824542,0.099739,100,30
algorithm9,0.280000,0.114239,0.975362,0.013982,100,10
algorithm9,0.426667,0.126669,0.934061,0.027313,100,15
algorithm9,0.455000,0.129223,0.918289,0.050309,100,20
algorithm9,0.499200,0.145908,0.905239,0.080880,100,25
algorithm9,0.455556,0.126725,0.886004,0.118972,100,30
algorithm9,0.340000,0.138255,0.974765,0.014180,100,10
algorithm9,0.484444,0.178077,0.911937,0.027242,100,15
algorithm9,0.440000,0.125782,0.937496,0.050310,100,20
algorithm9,0.552000,0.157145,0.818045,0.088763,100,25
algorithm9,0.496667,0.133230,0.872481,0.097670,100,30
algorithm9,0.310000,0.197890,0.943422,0.014680,100,10
algorithm9,0.431111,0.186751,0.912906,0.026995,100,15
algorithm9,0.525000,0.166952,0.844035,0.050304,100,20
algorithm9,0.427200,0.117516,0.922043,0.081051,100,25
algorithm9,0.485556,0.125869,0.851536,0.095984,100,30
algorithm9,0.360000,0.128085,0.981351,0.014688,100,10
algorithm9,0.382222,0.182888,0.940443,0.027267,100,15
algorithm9,0.375000,0.149396,0.940176,0.049501,100,20
algorithm9,0.518400,0.170775,0.841422,0.078426,100,25
algorithm9,0.545556,0.152740,0.833646,0.095036,100,30
algorithm9,0.390000,0.213363,0.950464,0.017561,100,10
algorithm9,0.342222,0.143208,0.957691,0.027417,100,15
algorithm9,0.397500,0.112413,0.938514,0.050104,100,20
algorithm9,0.475200,0.110896,0.891012,0.079663,100,25
algorithm9,0.514444,0.116371,0.877669,0.096894,100,30
algorithm9,0.340000,0.149492,0.948145,0.014008,100,10
algorithm9,0.453333,0.196583,0.896851,0.026624,100,15
algorithm9,0.455000,0.168746,0.867313,0.051483,100,20
algorithm9,0.478400,0.118279,0.911666,0.079046,100,25
algorithm9,0.504444,0.132936,0.860112,0.099222,100,30
algorithm9,0.310000,0.107882,0.976393,0.013950,100,10
algorithm9,0.422222,0.240768,0.900880,0.027900,100,15
algorithm9,0.445000,0.147814,0.908596,0.050018,100,20
algorithm9,0.515200,0.153592,0.873301,0.078837,100,25
algorithm9,0.512222,0.163066,0.848793,0.100260,100,30
algorithm9,0.280000,0.106027,0.977804,0.014434,100,10
algorithm9,0.373333,0.132646,0.942054,0.027023,100,15
algorithm9,0.470000,0.150047,0.888018,0.052363,100,20
algorithm9,0.444800,0.127898,0.913362,0.095228,100,25
algorithm9,0.450000,0.120446,0.910213,0.112578,100,30
algorithm9,0.350000,0.199264,0.964374,0.014997,100,10
algorithm9,0.364444,0.155268,0.944500,0.030411,100,15
algorithm9,0.450000,0.211656,0.877192,0.054281,100,20
algorithm9,0.449600,0.166661,0.859154,0.092083,100,25
algorithm9,0.477778,0.148143,0.826584,0.113637,100,30
