algorithm,reward,iteration,value,time
algorithm_13k,1,1,0.000000,0.000000
algorithm_13k,1,2,11.794618,0.595509
algorithm_13k,1,3,11.794135,0.798208
algorithm_13k,1,4,11.801141,1.053956
algorithm_13k,1,5,11.804031,1.245076
algorithm_13k,1,6,11.794061,1.436957
algorithm_13k,1,7,11.790672,1.641705
algorithm_13k,1,8,11.788647,1.887368
algorithm_13k,1,9,11.792844,2.051826
algorithm_13k,1,10,11.798285,2.229402
algorithm_13k,1,11,11.766648,2.437221
algorithm_13k,1,12,11.783720,2.648170
algorithm_13k,1,13,11.795292,2.804351
algorithm_13k,1,14,11.779719,2.966427
algorithm_13k,1,15,11.761929,3.132121
algorithm_13k,1,16,11.769468,3.318186
algorithm_13k,1,17,11.764265,3.489099
algorithm_13k,1,18,11.792167,3.673916
algorithm_13k,1,19,11.783477,3.862831
algorithm_13k,1,20,11.784203,4.047096
algorithm_13k,1,21,11.790575,4.242685
algorithm_13k,1,22,11.765305,4.421999
algorithm_13k,1,23,11.793801,4.760597
algorithm_13k,1,24,11.772564,4.991247
algorithm_13k,1,25,11.793575,5.192442
algorithm_13k,1,26,11.770177,5.381975
algorithm_13k,1,27,11.789418,5.611450
algorithm_13k,1,28,11.786682,5.873480
algorithm_13k,1,29,11.793920,6.103305
algorithm_13k,1,30,11.769578,6.309409
algorithm_13k,1,31,11.800096,6.492125
algorithm_lsp,1,1,0.000000,0.000000
algorithm_lsp,1,2,11.783266,1.207992
algorithm_lsp,1,3,11.736637,1.646287
algorithm_lsp,1,4,11.776656,2.067883
algorithm_lsp,1,5,11.858934,2.490402
algorithm_lsp,1,6,11.819588,2.919080
algorithm_lsp,1,7,11.846375,3.327903
algorithm_lsp,1,8,11.801597,3.742349
algorithm_lsp,1,9,11.807041,4.156179
algorithm_lsp,1,10,11.825559,4.571121
algorithm_lsp,1,11,11.563801,4.999921
algorithm_lsp,1,12,11.596100,5.416154
algorithm_lsp,1,13,11.577753,5.906580
algorithm_lsp,1,14,11.777988,6.390784
algorithm_lsp,1,15,11.786100,6.840681
algorithm_lsp,1,16,11.754175,7.243335
algorithm_lsp,1,17,11.747777,7.639516
algorithm_lsp,1,18,11.756453,8.038299
algorithm_lsp,1,19,11.742234,8.435412
algorithm_lsp,1,20,11.591592,8.831008
algorithm_lsp,1,21,11.558319,9.233100
algorithm_lsp,1,22,11.505698,9.701191
algorithm_lsp,1,23,11.599421,10.131254
algorithm_lsp,1,24,11.614717,10.530912
algorithm_lsp,1,25,11.633164,10.927367
algorithm_lsp,1,26,11.712706,11.323668
algorithm_lsp,1,27,11.664529,11.734958
algorithm_lsp,1,28,11.695015,12.143833
algorithm_lsp,1,29,11.869953,12.537906
algorithm_lsp,1,30,11.877690,12.939279
algorithm_lsp,1,31,11.884325,13.338287
algorithm_ksp,1,1,0.000000,0.000000
algorithm_ksp,1,2,11.768159,10.289778
algorithm_ksp,1,3,11.771695,20.513030
algorithm_ksp,1,4,11.802824,30.571862
algorithm_ksp,1,5,11.797447,40.383502
algorithm_ksp,1,6,11.445550,50.191430
algorithm_ksp,1,7,11.799728,60.082017
algorithm_ksp,1,8,11.792097,70.027473
algorithm_ksp,1,9,11.782292,80.036351
algorithm_ksp,1,10,10.828698,89.924826
algorithm_ksp,1,11,11.792188,99.848835
algorithm_ksp,1,12,11.777938,109.868241
algorithm_ksp,1,13,11.787383,119.771571
algorithm_ksp,1,14,10.828487,129.826072
algorithm_ksp,1,15,11.797763,139.901315
algorithm_ksp,1,16,11.787222,150.174332
algorithm_ksp,1,17,10.668276,160.667158
algorithm_ksp,1,18,11.793067,171.382048
algorithm_ksp,1,19,11.784328,182.051415
algorithm_ksp,1,20,11.791246,192.476224
algorithm_ksp,1,21,11.778058,202.962537
algorithm_ksp,1,22,11.798029,213.553599
algorithm_ksp,1,23,11.791092,224.159132
algorithm_ksp,1,24,11.784620,235.967875
algorithm_ksp,1,25,10.160800,248.132282
algorithm_ksp,1,26,11.801572,259.072646
algorithm_ksp,1,27,11.767544,269.822681
algorithm_ksp,1,28,11.786890,280.651292
algorithm_ksp,1,29,11.785845,291.700597
algorithm_ksp,1,30,11.789704,302.860358
algorithm_ksp,1,31,11.771635,314.927476
algorithm_13k,2,1,0.000000,0.000000
algorithm_13k,2,2,7.396146,0.270521
algorithm_13k,2,3,7.161761,0.500981
algorithm_13k,2,4,6.480777,0.744226
algorithm_13k,2,5,5.847401,1.115157
algorithm_13k,2,6,5.838001,1.314357
algorithm_13k,2,7,5.887994,1.536195
algorithm_13k,2,8,8.154308,1.747712
algorithm_13k,2,9,8.079797,2.084483
algorithm_13k,2,10,7.583064,2.319033
algorithm_13k,2,11,7.986634,2.568411
algorithm_13k,2,12,7.570701,2.806534
algorithm_13k,2,13,7.452587,3.049661
algorithm_13k,2,14,7.731831,3.299720
algorithm_13k,2,15,7.556985,3.548915
algorithm_13k,2,16,7.222276,3.819656
algorithm_13k,2,17,7.060610,4.087219
algorithm_13k,2,18,7.091033,4.353947
algorithm_13k,2,19,7.114205,4.653311
algorithm_13k,2,20,7.335781,4.936662
algorithm_13k,2,21,7.751640,5.279939
algorithm_13k,2,22,7.765024,5.575905
algorithm_13k,2,23,8.133789,5.896279
algorithm_13k,2,24,8.177527,6.282221
algorithm_13k,2,25,7.941012,6.714049
algorithm_13k,2,26,7.785602,7.049896
algorithm_13k,2,27,7.583393,7.419691
algorithm_13k,2,28,7.836567,7.781482
algorithm_13k,2,29,8.337031,8.264748
algorithm_13k,2,30,8.460446,8.754477
algorithm_13k,2,31,8.507877,9.101656
algorithm_lsp,2,1,0.000000,0.000000
algorithm_lsp,2,2,7.084925,0.640796
algorithm_lsp,2,3,7.262518,1.118179
algorithm_lsp,2,4,7.158221,1.632193
algorithm_lsp,2,5,7.461509,2.033882
algorithm_lsp,2,6,7.393152,2.512667
algorithm_lsp,2,7,7.538881,2.909875
algorithm_lsp,2,8,7.747255,3.316268
algorithm_lsp,2,9,7.694590,3.741898
algorithm_lsp,2,10,7.654082,4.193250
algorithm_lsp,2,11,8.840594,4.650692
algorithm_lsp,2,12,8.948919,5.063766
algorithm_lsp,2,13,8.919585,5.485272
algorithm_lsp,2,14,7.641912,5.917984
algorithm_lsp,2,15,7.654681,6.343515
algorithm_lsp,2,16,7.622001,6.742137
algorithm_lsp,2,17,7.941409,7.132009
algorithm_lsp,2,18,7.896273,7.584733
