algorithm,reward,iteration,value,time
algorithm_13k,2,30,-8.395757,20.389338
algorithm_13k,2,31,-9.848038,21.437920
algorithm_lsp,2,1,0.000000,0.000000
algorithm_lsp,2,2,-10.433823,0.664080
algorithm_lsp,2,3,-10.290948,1.093309
algorithm_lsp,2,4,-10.366131,1.495158
algorithm_lsp,2,5,-11.510976,1.896459
algorithm_lsp,2,6,-11.498430,2.310159
algorithm_lsp,2,7,-11.340538,2.713367
algorithm_lsp,2,8,-10.656771,3.116072
algorithm_lsp,2,9,-10.741873,3.518832
algorithm_lsp,2,10,-10.794164,3.913932
algorithm_lsp,2,11,-11.968475,4.307795
algorithm_lsp,2,12,-11.575552,4.707205
algorithm_lsp,2,13,-12.047777,5.110478
algorithm_lsp,2,14,-11.663863,5.502916
algorithm_lsp,2,15,-11.795983,5.907150
algorithm_lsp,2,16,-12.254181,6.310234
algorithm_lsp,2,17,-12.901239,6.718881
algorithm_lsp,2,18,-12.860493,7.122307
algorithm_lsp,2,19,-12.763047,7.521209
algorithm_lsp,2,20,-12.339220,7.918363
algorithm_lsp,2,21,-12.332428,8.319570
algorithm_lsp,2,22,-12.450608,8.719444
algorithm_lsp,2,23,-10.112433,9.128874
algorithm_lsp,2,24,-10.138722,9.533606
algorithm_lsp,2,25,-10.504426,9.932219
algorithm_lsp,2,26,-11.429563,10.348482
algorithm_lsp,2,27,-11.405471,10.753146
algorithm_lsp,2,28,-11.656107,11.152783
algorithm_lsp,2,29,-14.413824,11.551131
algorithm_lsp,2,30,-14.603226,11.957166
algorithm_lsp,2,31,-14.738394,12.357365
algorithm_ksp,2,1,0.000000,0.000000
algorithm_ksp,2,2,-13.041962,8.045904
algorithm_ksp,2,3,-12.063642,16.054720
algorithm_ksp,2,4,-11.818165,24.075659
algorithm_ksp,2,5,-10.512934,32.017106
algorithm_ksp,2,6,-11.450394,39.980231
algorithm_ksp,2,7,-12.895659,47.897644
algorithm_ksp,2,8,-13.407345,55.779113
algorithm_ksp,2,9,-13.308634,63.713960
algorithm_ksp,2,10,-13.281675,71.706184
algorithm_ksp,2,11,-13.306323,79.659102
algorithm_ksp,2,12,-13.443576,87.540868
algorithm_ksp,2,13,-13.396091,95.559998
algorithm_ksp,2,14,-13.463530,103.518073
algorithm_ksp,2,15,-13.289420,111.521680
algorithm_ksp,2,16,-13.335779,119.453524
algorithm_ksp,2,17,-13.395037,127.348432
algorithm_ksp,2,18,-13.316545,135.503701
algorithm_ksp,2,19,-13.359340,143.403765
algorithm_ksp,2,20,-13.326111,151.486552
algorithm_ksp,2,21,-13.283498,159.421307
algorithm_ksp,2,22,-13.361803,167.399609
algorithm_ksp,2,23,-13.323962,175.329308
algorithm_ksp,2,24,-13.438436,183.257216
algorithm_ksp,2,25,-13.477405,191.207720
algorithm_ksp,2,26,-13.368826,199.137328
algorithm_ksp,2,27,-13.091399,207.062041
algorithm_ksp,2,28,-13.361461,215.231563
algorithm_ksp,2,29,-13.322833,223.115737
algorithm_ksp,2,30,-13.487566,230.944269
algorithm_ksp,2,31,-13.380406,238.879348
algorithm_13k,3,1,0.000000,0.000000
algorithm_13k,3,2,-18.539015,0.330844
algorithm_13k,3,3,-18.999196,0.674299
algorithm_13k,3,4,-18.016253,1.190034
algorithm_13k,3,5,-18.707281,1.606460
algorithm_13k,3,6,-18.112122,1.995821
algorithm_13k,3,7,-17.474301,2.388930
algorithm_13k,3,8,-19.275419,2.897545
algorithm_13k,3,9,-18.379055,3.439903
algorithm_13k,3,10,-17.959775,3.988005
algorithm_13k,3,11,-18.224245,4.555128
algorithm_13k,3,12,-18.115450,5.156627
algorithm_13k,3,13,-18.621363,5.779035
algorithm_13k,3,14,-17.714181,6.390043
algorithm_13k,3,15,-18.208365,7.073608
algorithm_13k,3,16,-18.183386,7.765340
algorithm_13k,3,17,-17.692006,8.496359
algorithm_13k,3,18,-17.910851,9.253993
algorithm_13k,3,19,-17.578666,10.055941
algorithm_13k,3,20,-17.765825,10.846717
algorithm_13k,3,21,-17.890249,11.685580
algorithm_13k,3,22,-17.655012,12.502998
algorithm_13k,3,23,-17.268503,13.368613
algorithm_13k,3,24,-17.364388,14.258580
algorithm_13k,3,25,-17.472676,15.176877
algorithm_13k,3,26,-17.297489,16.144470
algorithm_13k,3,27,-17.148034,17.075249
algorithm_13k,3,28,-17.129226,18.025687
algorithm_13k,3,29,-17.132896,19.040655
algorithm_13k,3,30,-17.272413,20.059791
algorithm_13k,3,31,-17.597592,21.081383
