algorithm,reward,iteration,value,time
algorithm_13kx,1,40,-13.632733,17.919304
algorithm_13kx,1,41,-14.025780,18.642839
algorithm_13kx,1,42,-13.628821,19.357167
algorithm_13kx,1,43,-17.213458,20.067063
algorithm_13kx,1,44,-15.159505,20.834432
algorithm_13kx,1,45,-15.444339,21.564291
algorithm_13kx,1,46,-19.613163,22.324717
algorithm_13kx,1,47,-19.190984,23.096032
algorithm_13kx,1,48,-15.546776,23.901200
algorithm_13kx,1,49,-15.152263,24.636520
algorithm_13kx,1,50,-15.671261,25.388926
algorithm_13kx,1,51,-15.852150,26.220995
algorithm_13kx,1,52,-15.834197,27.030571
algorithm_13kx,1,53,-14.074527,27.817076
algorithm_13kx,1,54,-15.771160,28.622624
algorithm_13kx,1,55,-13.654270,29.476471
algorithm_13kx,1,56,-15.340957,30.318316
algorithm_13kx,1,57,-15.327904,31.277919
algorithm_13kx,1,58,-13.740417,32.202323
algorithm_13kx,1,59,-13.695589,33.061149
algorithm_13kx,1,60,-16.388189,34.218969
algorithm_13kx,1,61,-15.240576,35.164066
algorithm_13kx,1,62,-15.792028,36.018006
algorithm_13kx,1,63,-13.535494,36.870703
algorithm_13kx,1,64,-13.676825,37.819277
algorithm_13kx,1,65,-16.164951,38.793808
algorithm_13kx,1,66,-13.843284,39.746180
algorithm_13kx,1,67,-13.580971,40.612016
algorithm_13kx,1,68,-13.558204,41.506351
algorithm_13kx,1,69,-13.365711,42.389851
algorithm_13kx,1,70,-13.328541,43.307402
algorithm_13kx,1,71,-13.491483,44.248457
algorithm_13kx,1,72,-13.548890,45.273835
algorithm_13kx,1,73,-13.905118,46.257063
algorithm_13kx,1,74,-13.614328,47.241721
algorithm_13kx,1,75,-13.948949,48.166809
algorithm_13kx,1,76,-16.923074,49.154480
algorithm_13kx,1,77,-13.526237,50.085577
algorithm_13kx,1,78,-13.693581,51.021158
algorithm_13kx,1,79,-13.571882,51.962192
algorithm_13kx,1,80,-13.617291,52.912459
algorithm_13kx,1,81,-13.655846,53.854121
algorithm_13kx,1,82,-13.551490,54.806862
algorithm_13kx,1,83,-13.560427,55.806493
algorithm_13kx,1,84,-13.547636,56.760473
algorithm_13kx,1,85,-13.152566,57.768683
algorithm_13kx,1,86,-13.653255,58.810811
algorithm_13kx,1,87,-13.604782,59.803712
algorithm_13kx,1,88,-18.629880,60.778844
algorithm_13kx,1,89,-18.991097,61.885661
algorithm_13kx,1,90,-13.564100,62.887440
algorithm_13kx,1,91,-13.666147,64.160852
algorithm_13kx,1,92,-13.478043,65.198745
algorithm_13kx,1,93,-13.437658,66.203773
algorithm_13kx,1,94,-13.504374,67.211526
algorithm_13kx,1,95,-13.579628,68.233297
algorithm_13kx,1,96,-13.716787,69.348370
algorithm_13kx,1,97,-13.435055,70.380066
algorithm_13kx,1,98,-13.366758,71.403579
